1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0
2,2,2,2,1,0,2,2,0,2,2,2,1,0,2,2,2,0,0,0,2,2,0,0
0,0,3,3,2,0,3,3,0,3,3,3,2,1,3,3,3,1,0,1,0,3,0,0
0,0,4,4,3,1,0,4,0,0,4,4,0,2,4,4,4,2,1,0,1,0,1,1
1,0,5,5,4,2,1,5,1,0,0,5,0,3,5,0,5,3,0,0,2,0,2,2
2,0,6,6,5,0,2,6,2,1,1,6,0,4,6,1,0,4,0,0,3,0,3,0
3,0,7,0,0,0,3,7,3,2,2,7,0,5,7,2,1,0,0,1,4,1,4,0
4,1,8,1,0,0,4,8,0,3,3,0,1,0,8,3,2,0,1,2,5,2,0,0
5,2,9,2,1,0,5,9,0,4,4,0,2,0,0,4,0,1,2,3,6,3,0,0
0,3,10,3,2,0,6,0,0,5,5,1,3,1,1,5,1,2,3,0,0,0,0,1
0,0,11,4,3,0,7,1,1,0,6,2,4,2,2,0,2,3,4,0,1,0,0,2
0,0,12,5,4,1,8,2,0,0,7,3,0,3,3,1,3,4,0,0,0,1,1,3
0,1,13,6,5,2,9,3,0,1,8,4,0,4,4,2,4,0,0,1,0,0,2,0
1,0,14,0,0,3,10,4,1,2,9,5,0,5,5,3,5,0,0,2,1,1,0,0
2,0,15,1,0,0,11,5,2,3,10,0,0,6,6,0,6,0,1,3,2,2,1,0
3,1,16,2,1,0,12,6,3,4,11,0,0,0,7,0,0,1,2,4,3,0,0,1
0,2,17,3,2,1,13,7,4,5,12,1,0,1,8,1,0,0,3,0,0,0,0,2
0,0,18,4,3,0,14,0,5,6,13,2,1,2,9,0,1,1,4,0,1,0,0,3
0,0,19,5,4,0,15,1,0,7,14,0,2,3,10,0,2,2,0,1,0,1,1,4
1,0,20,6,5,1,16,2,0,0,15,0,3,4,11,0,3,0,0,2,0,2,2,5
0,1,21,0,0,2,17,3,1,1,16,1,0,5,12,1,4,0,0,3,1,3,0,0
1,0,22,0,0,0,18,4,2,2,17,0,1,6,13,2,0,0,1,4,2,4,1,0
2,1,23,0,1,0,19,5,3,3,18,0,0,7,14,0,0,1,2,5,3,0,0,1
3,2,24,1,0,1,20,6,4,4,19,1,0,8,15,0,0,0,0,6,4,0,0,2
0,3,25,2,0,2,0,7,5,5,20,2,1,9,16,0,1,0,1,0,5,0,0,3
0,4,26,3,0,3,1,0,0,6,21,3,2,10,17,0,2,1,0,1,0,0,1,4
0,5,27,4,1,4,2,1,0,0,22,0,3,11,0,1,3,0,0,2,0,1,2,5
0,6,28,5,0,5,3,2,1,1,23,0,4,12,1,2,0,0,1,3,0,2,0,0
0,7,0,0,1,0,4,3,2,2,24,0,5,13,2,3,0,0,2,4,1,3,0,1
1,8,1,0,0,1,5,4,3,3,0,1,0,14,3,0,0,1,3,5,2,0,0,2
2,9,2,1,0,2,6,5,4,4,0,2,0,0,4,0,1,2,4,6,3,0,0,0
0,10,3,2,0,3,0,6,5,5,1,3,1,1,5,0,2,3,0,0,0,0,1,1
0,11,4,3,0,4,0,0,6,6,2,4,2,2,6,0,3,4,0,1,0,0,2,2
0,12,5,4,1,5,1,0,7,7,0,5,3,3,0,0,4,0,0,0,1,1,3,3
1,13,6,5,2,6,2,0,8,8,1,0,4,4,1,0,0,0,1,0,0,2,0,4
0,14,0,0,3,7,3,1,9,9,2,0,5,5,2,1,0,0,2,1,1,0,0,5
0,15,1,0,0,8,4,2,10,10,0,1,0,6,3,2,0,0,3,2,2,1,0,6
1,16,2,1,0,9,5,3,11,11,0,0,0,7,0,3,1,1,4,3,0,0,1,0
2,17,3,2,1,10,6,0,12,12,1,0,1,8,1,0,0,2,0,4,0,0,2,0
