"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
1 Jan 2020 03:11:00.216,53.880,-75.992,26117.891501
1 Jan 2020 03:11:30.000,52.837,-76.141,25939.898266
1 Jan 2020 03:12:00.000,51.757,-76.302,25763.176430
1 Jan 2020 03:12:30.000,50.643,-76.475,25589.254227
1 Jan 2020 03:13:00.000,49.493,-76.659,25418.364239
1 Jan 2020 03:13:30.000,48.302,-76.854,25250.740821
1 Jan 2020 03:14:00.000,47.066,-77.059,25086.619698
1 Jan 2020 03:14:30.000,45.781,-77.275,24926.237508
1 Jan 2020 03:15:00.000,44.441,-77.501,24769.831321
1 Jan 2020 03:15:30.000,43.042,-77.736,24617.637881
1 Jan 2020 03:16:00.000,41.576,-77.980,24469.893962
1 Jan 2020 03:16:30.000,40.037,-78.232,24326.834368
1 Jan 2020 03:17:00.000,38.419,-78.491,24188.692226
1 Jan 2020 03:17:30.000,36.713,-78.756,24055.698077
1 Jan 2020 03:18:00.000,34.911,-79.026,23928.079157
1 Jan 2020 03:18:30.000,33.004,-79.301,23806.058471
1 Jan 2020 03:19:00.000,30.981,-79.578,23689.854773
1 Jan 2020 03:19:30.000,28.834,-79.856,23579.680632
1 Jan 2020 03:20:00.000,26.549,-80.133,23475.742394
1 Jan 2020 03:20:30.000,24.118,-80.407,23378.239158
1 Jan 2020 03:21:00.000,21.528,-80.676,23287.361825
1 Jan 2020 03:21:30.000,18.770,-80.939,23203.292794
1 Jan 2020 03:22:00.000,15.834,-81.191,23126.204336
1 Jan 2020 03:22:30.000,12.712,-81.431,23056.258346
1 Jan 2020 03:23:00.000,9.400,-81.655,22993.605423
1 Jan 2020 03:23:30.000,5.897,-81.861,22938.384056
1 Jan 2020 03:24:00.000,2.207,-82.045,22890.720231
1 Jan 2020 03:24:30.000,358.341,-82.204,22850.726296
1 Jan 2020 03:25:00.000,354.315,-82.337,22818.500709
1 Jan 2020 03:25:30.000,350.155,-82.439,22794.127407
1 Jan 2020 03:26:00.000,345.891,-82.509,22777.675412
1 Jan 2020 03:26:30.000,341.562,-82.545,22769.198353
1 Jan 2020 03:27:00.000,337.208,-82.548,22768.734251
1 Jan 2020 03:27:30.000,332.874,-82.515,22776.305334
1 Jan 2020 03:28:00.000,328.602,-82.449,22791.917765
1 Jan 2020 03:28:30.000,324.431,-82.349,22815.561835
1 Jan 2020 03:29:00.000,320.393,-82.220,22847.211896
1 Jan 2020 03:29:30.000,316.517,-82.061,22886.826650
1 Jan 2020 03:30:00.000,312.821,-81.877,22934.349017
1 Jan 2020 03:30:30.000,309.317,-81.671,22989.707006
1 Jan 2020 03:31:00.000,306.011,-81.444,23052.813782
1 Jan 2020 03:31:30.000,302.904,-81.201,23123.568368
1 Jan 2020 03:32:00.000,299.993,-80.945,23201.855649
1 Jan 2020 03:32:30.000,297.269,-80.678,23287.547792
1 Jan 2020 03:33:00.000,294.725,-80.402,23380.504382
1 Jan 2020 03:33:30.000,292.351,-80.122,23480.573260
1 Jan 2020 03:34:00.000,290.135,-79.837,23587.591493
1 Jan 2020 03:34:30.000,288.066,-79.552,23701.385250
1 Jan 2020 03:35:00.000,286.135,-79.267,23821.771923
1 Jan 2020 03:35:30.000,284.330,-78.984,23948.560053
1 Jan 2020 03:36:00.000,282.641,-78.706,24081.550359
1 Jan 2020 03:36:30.000,281.060,-78.432,24220.536782
1 Jan 2020 03:37:00.000,279.578,-78.165,24365.306310
1 Jan 2020 03:37:30.000,278.186,-77.905,24515.641203
1 Jan 2020 03:38:00.000,276.878,-77.654,24671.318802
1 Jan 2020 03:38:30.000,275.647,-77.412,24832.112494
1 Jan 2020 03:39:00.000,274.487,-77.180,24997.792421
1 Jan 2020 03:39:30.000,273.392,-76.958,25168.126159
1 Jan 2020 03:40:00.000,272.357,-76.748,25342.879675
1 Jan 2020 03:40:30.000,271.378,-76.549,25521.816648
1 Jan 2020 03:41:00.000,270.451,-76.362,25704.700960
1 Jan 2020 03:41:30.000,269.572,-76.187,25891.295948
1 Jan 2020 03:42:00.000,268.736,-76.025,26081.365216
1 Jan 2020 03:42:05.663,268.583,-75.996,26117.613358
1 Jan 2020 04:57:04.896,87.729,-75.988,26110.802424
1 Jan 2020 04:57:34.000,88.481,-76.144,25923.643846
1 Jan 2020 04:58:04.000,89.298,-76.319,25734.031662
1 Jan 2020 04:58:34.000,90.160,-76.506,25548.015304
1 Jan 2020 04:59:04.000,91.071,-76.706,25365.833627
1 Jan 2020 04:59:34.000,92.035,-76.918,25187.725645
1 Jan 2020 05:00:04.000,93.057,-77.141,25013.930023
1 Jan 2020 05:00:34.000,94.141,-77.376,24844.684521
1 Jan 2020 05:01:04.000,95.294,-77.622,24680.225105
1 Jan 2020 05:01:34.000,96.520,-77.878,24520.786525
1 Jan 2020 05:02:04.000,97.827,-78.143,24366.599825
1 Jan 2020 05:02:34.000,99.222,-78.417,24217.892870
1 Jan 2020 05:03:04.000,100.713,-78.698,24074.889299
1 Jan 2020 05:03:34.000,102.308,-78.986,23937.807772
1 Jan 2020 05:04:04.000,104.019,-79.279,23806.860916
1 Jan 2020 05:04:34.000,105.855,-79.575,23682.255597
1 Jan 2020 05:05:04.000,107.827,-79.874,23564.190469
1 Jan 2020 05:05:34.000,109.947,-80.172,23452.856250
1 Jan 2020 05:06:04.000,112.229,-80.469,23348.434617
1 Jan 2020 05:06:34.000,114.686,-80.762,23251.097188
1 Jan 2020 05:07:04.000,117.329,-81.049,23161.005523
1 Jan 2020 05:07:34.000,120.171,-81.326,23078.309115
1 Jan 2020 05:08:04.000,123.224,-81.591,23003.145468
1 Jan 2020 05:08:34.000,126.494,-81.841,22935.639052
1 Jan 2020 05:09:04.000,129.987,-82.072,22875.901159
