"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
1 Jan 2020 00:34:00.592,343.152,-75.984,26103.941274
1 Jan 2020 00:34:30.000,344.908,-76.065,26005.136374
1 Jan 2020 00:35:00.000,346.733,-76.149,25907.917077
1 Jan 2020 00:35:30.000,348.593,-76.233,25814.471208
1 Jan 2020 00:36:00.000,350.487,-76.317,25724.960408
1 Jan 2020 00:36:30.000,352.417,-76.401,25639.543052
1 Jan 2020 00:37:00.000,354.382,-76.484,25558.373808
1 Jan 2020 00:37:30.000,356.382,-76.566,25481.603187
1 Jan 2020 00:38:00.000,358.418,-76.645,25409.377016
1 Jan 2020 00:38:30.000,0.489,-76.721,25341.836306
1 Jan 2020 00:39:00.000,2.593,-76.794,25279.116306
1 Jan 2020 00:39:30.000,4.730,-76.863,25221.346393
1 Jan 2020 00:40:00.000,6.899,-76.928,25168.649552
1 Jan 2020 00:40:30.000,9.097,-76.988,25121.141940
1 Jan 2020 00:41:00.000,11.322,-77.042,25078.932454
1 Jan 2020 00:41:30.000,13.571,-77.090,25042.122441
1 Jan 2020 00:42:00.000,15.843,-77.131,25010.805142
1 Jan 2020 00:42:30.000,18.133,-77.166,24985.065470
1 Jan 2020 00:43:00.000,20.439,-77.193,24964.979649
1 Jan 2020 00:43:30.000,22.756,-77.212,24950.614915
1 Jan 2020 00:44:00.000,25.081,-77.224,24942.029286
1 Jan 2020 00:44:30.000,27.410,-77.228,24939.271217
1 Jan 2020 00:45:00.000,29.738,-77.224,24942.379561
1 Jan 2020 00:45:30.000,32.061,-77.211,24951.383322
1 Jan 2020 00:46:00.000,34.376,-77.191,24966.301562
1 Jan 2020 00:46:30.000,36.678,-77.162,24987.143323
1 Jan 2020 00:47:00.000,38.962,-77.126,25013.907694
1 Jan 2020 00:47:30.000,41.226,-77.083,25046.583446
1 Jan 2020 00:48:00.000,43.466,-77.033,25085.149624
1 Jan 2020 00:48:30.000,45.678,-76.976,25129.575284
1 Jan 2020 00:49:00.000,47.859,-76.913,25179.819715
1 Jan 2020 00:49:30.000,50.007,-76.845,25235.832601
1 Jan 2020 00:50:00.000,52.119,-76.771,25297.554380
1 Jan 2020 00:50:30.000,54.193,-76.693,25364.915886
1 Jan 2020 00:51:00.000,56.228,-76.612,25437.839499
1 Jan 2020 00:51:30.000,58.222,-76.527,25516.238871
1 Jan 2020 00:52:00.000,60.174,-76.439,25600.019389
1 Jan 2020 00:52:30.000,62.083,-76.350,25689.078526
