"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
1 Jan 2020 02:23:25.512,338.560,-75.985,26104.151921
1 Jan 2020 02:23:55.000,340.271,-76.073,25996.068951
1 Jan 2020 02:24:25.000,342.046,-76.166,25889.545451
1 Jan 2020 02:24:55.000,343.858,-76.259,25786.660668
1 Jan 2020 02:25:25.000,345.707,-76.354,25687.586032
1 Jan 2020 02:25:55.000,347.595,-76.450,25592.490321
1 Jan 2020 02:26:25.000,349.521,-76.545,25501.539213
1 Jan 2020 02:26:55.000,351.488,-76.639,25414.894822
1 Jan 2020 02:27:25.000,353.494,-76.732,25332.715134
1 Jan 2020 02:27:55.000,355.540,-76.823,25255.153917
1 Jan 2020 02:28:25.000,357.626,-76.912,25182.359653
1 Jan 2020 02:28:55.000,359.751,-76.997,25114.475457
1 Jan 2020 02:29:25.000,1.914,-77.078,25051.638504
1 Jan 2020 02:29:55.000,4.114,-77.155,24993.979549
1 Jan 2020 02:30:25.000,6.348,-77.226,24941.622434
1 Jan 2020 02:30:55.000,8.616,-77.291,24894.683813
1 Jan 2020 02:31:25.000,10.914,-77.350,24853.272440
1 Jan 2020 02:31:55.000,13.239,-77.401,24817.488952
1 Jan 2020 02:32:25.000,15.588,-77.445,24787.425434
1 Jan 2020 02:32:55.000,17.958,-77.481,24763.165055
1 Jan 2020 02:33:25.000,20.343,-77.508,24744.781752
1 Jan 2020 02:33:55.000,22.741,-77.527,24732.339888
1 Jan 2020 02:34:25.000,25.145,-77.536,24725.894041
1 Jan 2020 02:34:55.000,27.552,-77.537,24725.488757
1 Jan 2020 02:35:25.000,29.956,-77.528,24731.158374
1 Jan 2020 02:35:55.000,32.353,-77.511,24742.926935
1 Jan 2020 02:36:25.000,34.738,-77.484,24760.807872
1 Jan 2020 02:36:55.000,37.106,-77.448,24784.804272
1 Jan 2020 02:37:25.000,39.453,-77.404,24814.908668
1 Jan 2020 02:37:55.000,41.774,-77.352,24851.103124
1 Jan 2020 02:38:25.000,44.066,-77.292,24893.359316
1 Jan 2020 02:38:55.000,46.324,-77.225,24941.638791
1 Jan 2020 02:39:25.000,48.546,-77.151,24995.892606
1 Jan 2020 02:39:55.000,50.729,-77.071,25056.062310
1 Jan 2020 02:40:25.000,52.871,-76.986,25122.079683
1 Jan 2020 02:40:55.000,54.969,-76.896,25193.867136
1 Jan 2020 02:41:25.000,57.021,-76.802,25271.338023
1 Jan 2020 02:41:55.000,59.028,-76.706,25354.397168
1 Jan 2020 02:42:25.000,60.987,-76.606,25442.940498
1 Jan 2020 02:42:55.000,62.899,-76.505,25536.856516
1 Jan 2020 02:43:25.000,64.763,-76.403,25636.025995
1 Jan 2020 02:43:55.000,66.579,-76.301,25740.322579
1 Jan 2020 02:44:25.000,68.348,-76.199,25849.613217
1 Jan 2020 02:44:55.000,70.070,-76.098,25963.758610
1 Jan 2020 02:45:25.000,71.746,-75.999,26082.613901
1 Jan 2020 02:45:30.302,72.038,-75.982,26104.099893
1 Jan 2020 04:02:58.163,287.428,-75.990,26110.198384
1 Jan 2020 04:03:28.000,287.596,-76.164,25903.493028
1 Jan 2020 04:03:58.000,287.761,-76.355,25698.222898
1 Jan 2020 04:04:28.000,287.921,-76.563,25495.774316
1 Jan 2020 04:04:58.000,288.077,-76.787,25296.401464
1 Jan 2020 04:05:28.000,288.229,-77.029,25100.361312
1 Jan 2020 04:05:58.000,288.378,-77.287,24907.913224
