"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
1 Jan 2020 00:00:00.000,54.750,-77.307,24906.098237
1 Jan 2020 00:00:30.000,54.955,-77.596,24709.523903
1 Jan 2020 00:01:00.000,55.184,-77.903,24517.629817
1 Jan 2020 00:01:30.000,55.440,-78.228,24330.713062
1 Jan 2020 00:02:00.000,55.726,-78.572,24149.070561
1 Jan 2020 00:02:30.000,56.045,-78.933,23972.998261
1 Jan 2020 00:03:00.000,56.401,-79.312,23802.789976
1 Jan 2020 00:03:30.000,56.801,-79.709,23638.737526
1 Jan 2020 00:04:00.000,57.249,-80.122,23481.128080
1 Jan 2020 00:04:30.000,57.755,-80.551,23330.244190
1 Jan 2020 00:05:00.000,58.328,-80.997,23186.362404
1 Jan 2020 00:05:30.000,58.980,-81.457,23049.751845
1 Jan 2020 00:06:00.000,59.726,-81.932,22920.674019
1 Jan 2020 00:06:30.000,60.588,-82.420,22799.380064
1 Jan 2020 00:07:00.000,61.591,-82.920,22686.110534
1 Jan 2020 00:07:30.000,62.770,-83.431,22581.093721
1 Jan 2020 00:08:00.000,64.174,-83.952,22484.545126
1 Jan 2020 00:08:30.000,65.869,-84.479,22396.665164
1 Jan 2020 00:09:00.000,67.950,-85.011,22317.638726
1 Jan 2020 00:09:30.000,70.559,-85.545,22247.633750
1 Jan 2020 00:10:00.000,73.905,-86.075,22186.800691
1 Jan 2020 00:10:30.000,78.318,-86.594,22135.270758
1 Jan 2020 00:11:00.000,84.316,-87.093,22093.155605
1 Jan 2020 00:11:30.000,92.712,-87.551,22060.546380
1 Jan 2020 00:12:00.000,104.630,-87.938,22037.513362
1 Jan 2020 00:12:30.000,120.998,-88.202,22024.105067
1 Jan 2020 00:13:00.000,140.800,-88.283,22020.348195
1 Jan 2020 00:13:30.000,160.092,-88.156,22026.247384
1 Jan 2020 00:14:00.000,175.444,-87.859,22041.785127
1 Jan 2020 00:14:30.000,186.474,-87.453,22066.921928
1 Jan 2020 00:15:00.000,194.259,-86.984,22101.596570
1 Jan 2020 00:15:30.000,199.869,-86.480,22145.726616
1 Jan 2020 00:16:00.000,204.038,-85.958,22199.208632
1 Jan 2020 00:16:30.000,207.235,-85.428,22261.919359
1 Jan 2020 00:17:00.000,209.757,-84.896,22333.716221
1 Jan 2020 00:17:30.000,211.795,-84.365,22414.438464
1 Jan 2020 00:18:00.000,213.478,-83.841,22503.907584
1 Jan 2020 00:18:30.000,214.894,-83.324,22601.929270
1 Jan 2020 00:19:00.000,216.104,-82.816,22708.294005
1 Jan 2020 00:19:30.000,217.153,-82.320,22822.778590
1 Jan 2020 00:20:00.000,218.074,-81.836,22945.146617
1 Jan 2020 00:20:30.000,218.892,-81.366,23075.150837
1 Jan 2020 00:21:00.000,219.626,-80.911,23212.533677
1 Jan 2020 00:21:30.000,220.291,-80.470,23357.028660
1 Jan 2020 00:22:00.000,220.899,-80.045,23508.361898
1 Jan 2020 00:22:30.000,221.458,-79.637,23666.252198
1 Jan 2020 00:23:00.000,221.978,-79.246,23830.413808
1 Jan 2020 00:23:30.000,222.463,-78.872,24000.556461
1 Jan 2020 00:24:00.000,222.919,-78.516,24176.386675
1 Jan 2020 00:24:30.000,223.350,-78.177,24357.608739
1 Jan 2020 00:25:00.000,223.761,-77.857,24543.925938
1 Jan 2020 00:25:30.000,224.153,-77.554,24735.040187
1 Jan 2020 00:26:00.000,224.530,-77.270,24930.654643
1 Jan 2020 00:26:30.000,224.895,-77.004,25130.473223
1 Jan 2020 00:27:00.000,225.248,-76.756,25334.201563
1 Jan 2020 00:27:30.000,225.592,-76.526,25541.547608
1 Jan 2020 00:28:00.000,225.928,-76.313,25752.222152
1 Jan 2020 00:28:30.000,226.258,-76.119,25965.939309
1 Jan 2020 00:29:00.000,226.583,-75.942,26182.416932
1 Jan 2020 00:29:30.000,226.904,-75.782,26401.376979
1 Jan 2020 00:30:00.000,227.222,-75.640,26622.545830
1 Jan 2020 00:30:30.000,227.537,-75.514,26845.654909
1 Jan 2020 00:31:00.000,227.852,-75.404,27070.439498
1 Jan 2020 00:31:30.000,228.167,-75.311,27296.641046
1 Jan 2020 00:32:00.000,228.481,-75.234,27524.005910
1 Jan 2020 00:32:30.000,228.797,-75.172,27752.285828
1 Jan 2020 00:33:00.000,229.115,-75.125,27981.238010
1 Jan 2020 00:33:30.000,229.435,-75.093,28210.625204
1 Jan 2020 00:34:00.000,229.758,-75.076,28440.215739
1 Jan 2020 00:34:21.958,229.997,-75.072,28608.257379
1 Jan 2020 01:34:22.380,56.104,-75.077,28611.054864
1 Jan 2020 01:34:52.000,57.075,-75.082,28417.286818
1 Jan 2020 01:35:22.000,58.082,-75.098,28222.512348
1 Jan 2020 01:35:52.000,59.114,-75.123,28029.450840
1 Jan 2020 01:36:22.000,60.174,-75.159,27838.327174
1 Jan 2020 01:36:52.000,61.263,-75.204,27649.368355
1 Jan 2020 01:37:22.000,62.384,-75.259,27462.803237
1 Jan 2020 01:37:52.000,63.537,-75.325,27278.862201
1 Jan 2020 01:38:22.000,64.727,-75.399,27097.776826
1 Jan 2020 01:38:52.000,65.954,-75.483,26919.779505
1 Jan 2020 01:39:22.000,67.221,-75.576,26745.103051
1 Jan 2020 01:39:52.000,68.531,-75.677,26573.980255
1 Jan 2020 01:40:22.000,69.886,-75.787,26406.643133
1 Jan 2020 01:40:52.000,71.289,-75.904,26243.323571
1 Jan 2020 01:41:22.000,72.742,-76.028,26084.251065
1 Jan 2020 01:41:52.000,74.248,-76.159,25929.653312
1 Jan 2020 01:42:22.000,75.809,-76.296,25779.755323
1 Jan 2020 01:42:52.000,77.430,-76.438,25634.778800
1 Jan 2020 01:43:22.000,79.111,-76.585,25494.941486
1 Jan 2020 01:43:52.000,80.856,-76.735,25360.456240
1 Jan 2020 01:44:22.000,82.668,-76.888,25231.531363
1 Jan 2020 01:44:52.000,84.548,-77.042,25108.368338
1 Jan 2020 01:45:22.000,86.500,-77.197,24991.162155
1 Jan 2020 01:45:52.000,88.524,-77.352,24880.100313
1 Jan 2020 01:46:22.000,90.622,-77.504,24775.361917
1 Jan 2020 01:46:52.000,92.796,-77.654,24677.117666
1 Jan 2020 01:47:22.000,95.045,-77.800,24585.528046
1 Jan 2020 01:47:52.000,97.369,-77.940,24500.743369
1 Jan 2020 01:48:22.000,99.768,-78.074,24422.902913
1 Jan 2020 01:48:52.000,102.239,-78.199,24352.134132
1 Jan 2020 01:49:22.000,104.779,-78.315,24288.552632
1 Jan 2020 01:49:52.000,107.384,-78.421,24232.260721
1 Jan 2020 01:50:22.000,110.049,-78.515,24183.347505
1 Jan 2020 01:50:52.000,112.768,-78.596,24141.888195
1 Jan 2020 01:51:22.000,115.533,-78.664,24107.944046
1 Jan 2020 01:51:52.000,118.338,-78.717,24081.561531
1 Jan 2020 01:52:22.000,121.172,-78.756,24062.772435
1 Jan 2020 01:52:52.000,124.026,-78.779,24051.593554
