"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
1 Jan 2020 00:17:49.795,350.046,-75.069,28595.055135
1 Jan 2020 00:18:19.000,348.664,-75.072,28451.528355
1 Jan 2020 00:18:49.000,347.228,-75.080,28305.640895
1 Jan 2020 00:19:19.000,345.772,-75.094,28161.511027
1 Jan 2020 00:19:49.000,344.297,-75.113,28019.333169
1 Jan 2020 00:20:19.000,342.801,-75.138,27879.302458
1 Jan 2020 00:20:49.000,341.282,-75.167,27741.614447
1 Jan 2020 00:21:19.000,339.740,-75.202,27606.464773
1 Jan 2020 00:21:49.000,338.172,-75.241,27474.048810
1 Jan 2020 00:22:19.000,336.579,-75.285,27344.561298
1 Jan 2020 00:22:49.000,334.958,-75.332,27218.195956
1 Jan 2020 00:23:19.000,333.308,-75.383,27095.145072
1 Jan 2020 00:23:49.000,331.629,-75.438,26975.598919
1 Jan 2020 00:24:19.000,329.920,-75.495,26859.745946
1 Jan 2020 00:24:49.000,328.179,-75.555,26747.771353
1 Jan 2020 00:25:19.000,326.407,-75.616,26639.857265
1 Jan 2020 00:25:49.000,324.602,-75.680,26536.182076
1 Jan 2020 00:26:19.000,322.764,-75.744,26436.919954
1 Jan 2020 00:26:49.000,320.893,-75.809,26342.240330
1 Jan 2020 00:27:19.000,318.989,-75.874,26252.307270
1 Jan 2020 00:27:49.000,317.052,-75.938,26167.279433
1 Jan 2020 00:28:19.000,315.082,-76.001,26087.308832
1 Jan 2020 00:28:49.000,313.081,-76.062,26012.540814
1 Jan 2020 00:29:19.000,311.048,-76.121,25943.113433
1 Jan 2020 00:29:49.000,308.985,-76.178,25879.156954
1 Jan 2020 00:30:19.000,306.894,-76.230,25820.793311
1 Jan 2020 00:30:49.000,304.777,-76.279,25768.135941
1 Jan 2020 00:31:19.000,302.635,-76.324,25721.288895
1 Jan 2020 00:31:49.000,300.470,-76.364,25680.346743
1 Jan 2020 00:32:19.000,298.286,-76.398,25645.394120
1 Jan 2020 00:32:49.000,296.085,-76.427,25616.505379
1 Jan 2020 00:33:19.000,293.870,-76.451,25593.744274
1 Jan 2020 00:33:49.000,291.645,-76.468,25577.163775
1 Jan 2020 00:34:19.000,289.412,-76.478,25566.805709
1 Jan 2020 00:34:49.000,287.175,-76.482,25562.700688
1 Jan 2020 00:35:19.000,284.938,-76.480,25564.867950
1 Jan 2020 00:35:49.000,282.704,-76.471,25573.315313
1 Jan 2020 00:36:19.000,280.477,-76.456,25588.039030
1 Jan 2020 00:36:49.000,278.260,-76.434,25609.023964
1 Jan 2020 00:37:19.000,276.057,-76.407,25636.243559
1 Jan 2020 00:37:49.000,273.871,-76.373,25669.659983
1 Jan 2020 00:38:19.000,271.704,-76.334,25709.224363
1 Jan 2020 00:38:49.000,269.560,-76.290,25754.876703
