"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
1 Jan 2020 00:22:26.542,209.030,-75.075,28609.702953
1 Jan 2020 00:22:56.000,209.898,-75.078,28455.014158
1 Jan 2020 00:23:26.000,210.789,-75.088,28297.621598
1 Jan 2020 00:23:56.000,211.686,-75.104,28140.469788
1 Jan 2020 00:24:26.000,212.590,-75.128,27983.658499
1 Jan 2020 00:24:56.000,213.502,-75.158,27827.289328
1 Jan 2020 00:25:26.000,214.424,-75.195,27671.465683
1 Jan 2020 00:25:56.000,215.356,-75.239,27516.292752
1 Jan 2020 00:26:26.000,216.299,-75.290,27361.877478
1 Jan 2020 00:26:56.000,217.253,-75.348,27208.328518
1 Jan 2020 00:27:26.000,218.221,-75.413,27055.756198
1 Jan 2020 00:27:56.000,219.203,-75.486,26904.272470
1 Jan 2020 00:28:26.000,220.201,-75.565,26753.990846
1 Jan 2020 00:28:56.000,221.215,-75.652,26605.026343
1 Jan 2020 00:29:26.000,222.247,-75.746,26457.495403
1 Jan 2020 00:29:56.000,223.298,-75.847,26311.515816
1 Jan 2020 00:30:26.000,224.371,-75.955,26167.206629
1 Jan 2020 00:30:56.000,225.465,-76.070,26024.688047
1 Jan 2020 00:31:26.000,226.584,-76.192,25884.081328
1 Jan 2020 00:31:56.000,227.729,-76.321,25745.508659
1 Jan 2020 00:32:26.000,228.901,-76.456,25609.093030
1 Jan 2020 00:32:56.000,230.103,-76.598,25474.957846
1 Jan 2020 00:33:26.000,231.337,-76.746,25343.227782
1 Jan 2020 00:33:56.000,232.605,-76.900,25214.027103
1 Jan 2020 00:34:26.000,233.910,-77.060,25087.480510
1 Jan 2020 00:34:56.000,235.253,-77.225,24963.712701
1 Jan 2020 00:35:26.000,236.638,-77.395,24842.848175
1 Jan 2020 00:35:56.000,238.068,-77.570,24725.011028
1 Jan 2020 00:36:26.000,239.545,-77.749,24610.324735
1 Jan 2020 00:36:56.000,241.073,-77.932,24498.911923
1 Jan 2020 00:37:26.000,242.654,-78.118,24390.894135
1 Jan 2020 00:37:56.000,244.293,-78.306,24286.391373
1 Jan 2020 00:38:26.000,245.992,-78.497,24185.522681
1 Jan 2020 00:38:56.000,247.756,-78.690,24088.404612
1 Jan 2020 00:39:26.000,249.587,-78.883,23995.151813
1 Jan 2020 00:39:56.000,251.490,-79.075,23905.876525
1 Jan 2020 00:40:26.000,253.468,-79.267,23820.688310
1 Jan 2020 00:40:56.000,255.525,-79.457,23739.693756
1 Jan 2020 00:41:26.000,257.664,-79.644,23662.996192
1 Jan 2020 00:41:56.000,259.888,-79.827,23590.695260
1 Jan 2020 00:42:26.000,262.198,-80.005,23522.887194
1 Jan 2020 00:42:56.000,264.598,-80.176,23459.663665
1 Jan 2020 00:43:26.000,267.089,-80.341,23401.112088
1 Jan 2020 00:43:56.000,269.669,-80.496,23347.315199
1 Jan 2020 00:44:26.000,272.340,-80.642,23298.350787
1 Jan 2020 00:44:56.000,275.098,-80.777,23254.291438
1 Jan 2020 00:45:26.000,277.940,-80.899,23215.204220
1 Jan 2020 00:45:56.000,280.860,-81.008,23181.150731
1 Jan 2020 00:46:26.000,283.852,-81.103,23152.186455
1 Jan 2020 00:46:56.000,286.907,-81.182,23128.360855
1 Jan 2020 00:47:26.000,290.016,-81.245,23109.717126
1 Jan 2020 00:47:56.000,293.166,-81.290,23096.292028
1 Jan 2020 00:48:26.000,296.344,-81.318,23088.115758
1 Jan 2020 00:48:56.000,299.538,-81.328,23085.211832
1 Jan 2020 00:49:26.000,302.733,-81.320,23087.596983
1 Jan 2020 00:49:56.000,305.915,-81.294,23095.281118
1 Jan 2020 00:50:26.000,309.070,-81.249,23108.267265
1 Jan 2020 00:50:56.000,312.184,-81.188,23126.551565
1 Jan 2020 00:51:26.000,315.246,-81.109,23150.123350
1 Jan 2020 00:51:56.000,318.244,-81.015,23178.964918
1 Jan 2020 00:52:26.000,321.171,-80.906,23213.051972
1 Jan 2020 00:52:56.000,324.017,-80.782,23252.353466
1 Jan 2020 00:53:26.000,326.778,-80.646,23296.831773
1 Jan 2020 00:53:56.000,329.448,-80.498,23346.442820
1 Jan 2020 00:54:26.000,332.026,-80.340,23401.136360
1 Jan 2020 00:54:56.000,334.509,-80.172,23460.855670
1 Jan 2020 00:55:26.000,336.898,-79.997,23525.538447
1 Jan 2020 00:55:56.000,339.192,-79.814,23595.116560
1 Jan 2020 00:56:26.000,341.395,-79.627,23669.516382
1 Jan 2020 00:56:56.000,343.508,-79.434,23748.659029
1 Jan 2020 00:57:26.000,345.533,-79.239,23832.460612
1 Jan 2020 00:57:56.000,347.474,-79.041,23920.832687
1 Jan 2020 00:58:26.000,349.335,-78.842,24013.681744
