"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
1 Jan 2020 00:50:54.697,313.005,-75.065,28600.349393
1 Jan 2020 00:51:24.000,313.500,-75.072,28381.346171
1 Jan 2020 00:51:54.000,314.007,-75.091,28157.138307
1 Jan 2020 00:52:24.000,314.515,-75.125,27933.159927
1 Jan 2020 00:52:54.000,315.025,-75.173,27709.640371
1 Jan 2020 00:53:24.000,315.539,-75.235,27486.814429
1 Jan 2020 00:53:54.000,316.057,-75.313,27264.922288
1 Jan 2020 00:54:24.000,316.581,-75.405,27044.209459
1 Jan 2020 00:54:54.000,317.113,-75.513,26824.926669
1 Jan 2020 00:55:24.000,317.654,-75.636,26607.329740
1 Jan 2020 00:55:54.000,318.206,-75.775,26391.679414
1 Jan 2020 00:56:24.000,318.769,-75.931,26178.241162
1 Jan 2020 00:56:54.000,319.348,-76.103,25967.284944
1 Jan 2020 00:57:24.000,319.942,-76.291,25759.084931
1 Jan 2020 00:57:54.000,320.556,-76.496,25553.919177
1 Jan 2020 00:58:24.000,321.192,-76.717,25352.069254
1 Jan 2020 00:58:54.000,321.852,-76.955,25153.819506
1 Jan 2020 00:59:24.000,322.541,-77.210,24959.457832
1 Jan 2020 00:59:54.000,323.261,-77.481,24769.273256
1 Jan 2020 01:00:24.000,324.018,-77.769,24583.556601
1 Jan 2020 01:00:54.000,324.817,-78.073,24402.599512
1 Jan 2020 01:01:24.000,325.664,-78.394,24226.693742
1 Jan 2020 01:01:54.000,326.566,-78.729,24056.130113
1 Jan 2020 01:02:24.000,327.530,-79.080,23891.198700
1 Jan 2020 01:02:54.000,328.566,-79.446,23732.186376
1 Jan 2020 01:03:24.000,329.686,-79.826,23579.376893
1 Jan 2020 01:03:54.000,330.902,-80.218,23433.049598
1 Jan 2020 01:04:24.000,332.231,-80.623,23293.478147
1 Jan 2020 01:04:54.000,333.693,-81.038,23160.930290
1 Jan 2020 01:05:24.000,335.309,-81.463,23035.665356
1 Jan 2020 01:05:54.000,337.110,-81.896,22917.934000
1 Jan 2020 01:06:24.000,339.129,-82.334,22807.976612
1 Jan 2020 01:06:54.000,341.410,-82.775,22706.022766
1 Jan 2020 01:07:24.000,344.004,-83.217,22612.289034
1 Jan 2020 01:07:54.000,346.977,-83.654,22526.978479
1 Jan 2020 01:08:24.000,350.406,-84.083,22450.279224
1 Jan 2020 01:08:54.000,354.384,-84.498,22382.363840
1 Jan 2020 01:09:24.000,359.015,-84.892,22323.387563
1 Jan 2020 01:09:54.000,4.411,-85.254,22273.487851
1 Jan 2020 01:10:24.000,10.668,-85.576,22232.783331
1 Jan 2020 01:10:54.000,17.838,-85.843,22201.373275
1 Jan 2020 01:11:24.000,25.878,-86.042,22179.336567
1 Jan 2020 01:11:54.000,34.604,-86.162,22166.731457
1 Jan 2020 01:12:24.000,43.683,-86.192,22163.595116
1 Jan 2020 01:12:54.000,52.688,-86.131,22169.943355
1 Jan 2020 01:13:24.000,61.213,-85.984,22185.770549
1 Jan 2020 01:13:54.000,68.969,-85.760,22211.049685
1 Jan 2020 01:14:24.000,75.822,-85.472,22245.732635
1 Jan 2020 01:14:54.000,81.764,-85.134,22289.750161
1 Jan 2020 01:15:24.000,86.867,-84.759,22343.012849
1 Jan 2020 01:15:54.000,91.235,-84.355,22405.411419
1 Jan 2020 01:16:24.000,94.977,-83.933,22476.817658
1 Jan 2020 01:16:54.000,98.196,-83.498,22557.084663
1 Jan 2020 01:17:24.000,100.978,-83.056,22646.048615
1 Jan 2020 01:17:54.000,103.398,-82.611,22743.529223
1 Jan 2020 01:18:24.000,105.516,-82.168,22849.331130
1 Jan 2020 01:18:54.000,107.380,-81.728,22963.244254
1 Jan 2020 01:19:24.000,109.030,-81.295,23085.046089
1 Jan 2020 01:19:54.000,110.500,-80.869,23214.502139
1 Jan 2020 01:20:24.000,111.816,-80.454,23351.367294
1 Jan 2020 01:20:54.000,112.999,-80.050,23495.387301
1 Jan 2020 01:21:24.000,114.068,-79.659,23646.298818
1 Jan 2020 01:21:54.000,115.038,-79.281,23803.832227
1 Jan 2020 01:22:24.000,115.920,-78.918,23967.711655
1 Jan 2020 01:22:54.000,116.727,-78.569,24137.656318
1 Jan 2020 01:23:24.000,117.466,-78.236,24313.381551
1 Jan 2020 01:23:54.000,118.145,-77.919,24494.600111
1 Jan 2020 01:24:24.000,118.770,-77.619,24681.021775
1 Jan 2020 01:24:54.000,119.348,-77.335,24872.356165
1 Jan 2020 01:25:24.000,119.883,-77.068,25068.312242
1 Jan 2020 01:25:54.000,120.378,-76.818,25268.599362
