"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
1 Jan 2020 00:00:00.000,273.302,-76.282,25789.083271
1 Jan 2020 00:00:30.000,272.271,-76.120,25968.436203
1 Jan 2020 00:01:00.000,271.287,-75.970,26151.393149
1 Jan 2020 00:01:30.000,270.347,-75.830,26337.726540
1 Jan 2020 00:02:00.000,269.448,-75.703,26527.209246
1 Jan 2020 00:02:30.000,268.588,-75.587,26719.614981
1 Jan 2020 00:03:00.000,267.764,-75.482,26914.718665
1 Jan 2020 00:03:30.000,266.973,-75.390,27112.296767
1 Jan 2020 00:04:00.000,266.214,-75.309,27312.127607
1 Jan 2020 00:04:30.000,265.485,-75.241,27513.991634
1 Jan 2020 00:05:00.000,264.784,-75.184,27717.671673
1 Jan 2020 00:05:30.000,264.108,-75.140,27922.953145
1 Jan 2020 00:06:00.000,263.458,-75.107,28129.624267
1 Jan 2020 00:06:30.000,262.830,-75.086,28337.476218
1 Jan 2020 00:07:00.000,262.224,-75.077,28546.303297
1 Jan 2020 00:07:08.664,262.053,-75.077,28606.764965
1 Jan 2020 01:10:07.283,79.893,-75.067,28601.652954
1 Jan 2020 01:10:37.000,80.209,-75.074,28384.797698
1 Jan 2020 01:11:07.000,80.546,-75.093,28166.390524
1 Jan 2020 01:11:37.000,80.901,-75.125,27948.704988
1 Jan 2020 01:12:07.000,81.275,-75.170,27731.952150
1 Jan 2020 01:12:37.000,81.670,-75.229,27516.347027
1 Jan 2020 01:13:07.000,82.087,-75.302,27302.108494
1 Jan 2020 01:13:37.000,82.527,-75.388,27089.459148
1 Jan 2020 01:14:07.000,82.991,-75.489,26878.625166
1 Jan 2020 01:14:37.000,83.482,-75.603,26669.836120
1 Jan 2020 01:15:07.000,84.001,-75.731,26463.324778
1 Jan 2020 01:15:37.000,84.550,-75.874,26259.326863
1 Jan 2020 01:16:07.000,85.131,-76.031,26058.080787
1 Jan 2020 01:16:37.000,85.747,-76.202,25859.827348
1 Jan 2020 01:17:07.000,86.400,-76.388,25664.809390
1 Jan 2020 01:17:37.000,87.094,-76.587,25473.271084
1 Jan 2020 01:18:07.000,87.832,-76.801,25285.458892
1 Jan 2020 01:18:37.000,88.618,-77.028,25101.619023
1 Jan 2020 01:19:07.000,89.456,-77.268,24921.998334
1 Jan 2020 01:19:37.000,90.351,-77.522,24746.843428
1 Jan 2020 01:20:07.000,91.309,-77.788,24576.400079
1 Jan 2020 01:20:37.000,92.335,-78.067,24410.912592
1 Jan 2020 01:21:07.000,93.437,-78.357,24250.622837
1 Jan 2020 01:21:37.000,94.622,-78.658,24095.770765
1 Jan 2020 01:22:07.000,95.899,-78.969,23946.591800
1 Jan 2020 01:22:37.000,97.279,-79.289,23803.317301
1 Jan 2020 01:23:07.000,98.773,-79.617,23666.173441
1 Jan 2020 01:23:37.000,100.393,-79.951,23535.380128
1 Jan 2020 01:24:07.000,102.154,-80.291,23411.151077
1 Jan 2020 01:24:37.000,104.073,-80.634,23293.691520
1 Jan 2020 01:25:07.000,106.167,-80.979,23183.198270
1 Jan 2020 01:25:37.000,108.458,-81.323,23079.858596
1 Jan 2020 01:26:07.000,110.966,-81.664,22983.849144
1 Jan 2020 01:26:37.000,113.716,-81.998,22895.335886
1 Jan 2020 01:27:07.000,116.731,-82.323,22814.472052
1 Jan 2020 01:27:37.000,120.036,-82.635,22741.398161
1 Jan 2020 01:28:07.000,123.652,-82.929,22676.240937
1 Jan 2020 01:28:37.000,127.596,-83.202,22619.113110
1 Jan 2020 01:29:07.000,131.878,-83.448,22570.112003
1 Jan 2020 01:29:37.000,136.492,-83.662,22529.319502
1 Jan 2020 01:30:07.000,141.420,-83.839,22496.801363
1 Jan 2020 01:30:37.000,146.620,-83.976,22472.607110
1 Jan 2020 01:31:07.000,152.031,-84.068,22456.769270
1 Jan 2020 01:31:37.000,157.574,-84.111,22449.303489
1 Jan 2020 01:32:07.000,163.155,-84.106,22450.208331
1 Jan 2020 01:32:37.000,168.678,-84.052,22459.465333
1 Jan 2020 01:33:07.000,174.053,-83.952,22477.038999
1 Jan 2020 01:33:37.000,179.206,-83.807,22502.877081
1 Jan 2020 01:34:07.000,184.079,-83.623,22536.910909
1 Jan 2020 01:34:37.000,188.641,-83.403,22579.055603
1 Jan 2020 01:35:07.000,192.874,-83.154,22629.210800
1 Jan 2020 01:35:37.000,196.779,-82.880,22687.261073
1 Jan 2020 01:36:07.000,200.368,-82.586,22753.076697
1 Jan 2020 01:36:37.000,203.660,-82.276,22826.513978
1 Jan 2020 01:37:07.000,206.677,-81.954,22907.416563
1 Jan 2020 01:37:37.000,209.443,-81.623,22995.615898
1 Jan 2020 01:38:07.000,211.983,-81.288,23090.932153
1 Jan 2020 01:38:37.000,214.319,-80.950,23193.175286
1 Jan 2020 01:39:07.000,216.473,-80.612,23302.145222
1 Jan 2020 01:39:37.000,218.466,-80.276,23417.633801
1 Jan 2020 01:40:07.000,220.314,-79.944,23539.424998
1 Jan 2020 01:40:37.000,222.034,-79.617,23667.295989
1 Jan 2020 01:41:07.000,223.640,-79.297,23801.018032
1 Jan 2020 01:41:37.000,225.144,-78.986,23940.357582
1 Jan 2020 01:42:07.000,226.557,-78.683,24085.076131
1 Jan 2020 01:42:37.000,227.890,-78.390,24234.932488
1 Jan 2020 01:43:07.000,229.151,-78.108,24389.682571
1 Jan 2020 01:43:37.000,230.347,-77.837,24549.080383
1 Jan 2020 01:44:07.000,231.487,-77.577,24712.878702
